OrganizationId,FirstName,LastName,EmailAddress,DonationDate,DonationAmount
1,Fake,Donor1,mockEmail1@email.com,1/1/18,$1.00
1,Fake,Donor2,mockEmail2@email.com,1/1/18,$10.00
1,Fake,Donor3,mockEmail3@email.com,1/2/18,$100.00
1,Fake,Donor4,mockEmail4@email.com,1/2/18,"$1,000.00"
1,Fake,Donor5,mockEmail5@email.com,1/2/18,$10.00
1,Fake,Donor6,mockEmail6@email.com,1/3/18,$1.00
1,Fake,Donor7,mockEmail7@email.com,1/4/18,$10.00
1,Fake,Donor8,mockEmail8@email.com,1/4/18,$11.00
1,Fake,Donor9,mockEmail9@email.com,1/4/18,$12.00
1,Fake,Donor10,mockEmail10@email.com,1/4/18,$13.00
2,Fake,Donor11,mockEmail11@email.com,1/1/18,$1.00
2,Fake,Donor12,mockEmail12@email.com,1/1/18,$10.00
2,Fake,Donor13,mockEmail13@email.com,1/2/18,$100.00
3,Fake,Donor14,mockEmail14@email.com,1/2/18,"$1,000.00"
3,Fake,Donor15,mockEmail15@email.com,1/2/18,$10.00
3,Fake,Donor16,mockEmail16@email.com,1/3/18,$1.00
3,Fake,Donor17,mockEmail17@email.com,1/4/18,$10.00
3,Fake,Donor18,mockEmail18@email.com,1/4/18,$11.00
3,Fake,Donor19,mockEmail19@email.com,1/4/18,$12.00
4,Fake,Donor20,mockEmail20@email.com,1/4/18,$13.00
4,Fake,Donor21,mockEmail21@email.com,1/1/18,$1.00
4,Fake,Donor22,mockEmail22@email.com,1/1/18,$10.00
4,Fake,Donor23,mockEmail23@email.com,1/2/18,$100.00
4,Fake,Donor24,mockEmail24@email.com,1/2/18,"$1,000.00"
4,Fake,Donor25,mockEmail25@email.com,1/2/18,$10.00
4,Fake,Donor26,mockEmail26@email.com,1/3/18,$1.00
4,Fake,Donor27,mockEmail27@email.com,1/4/18,$10.00
4,Fake,Donor28,mockEmail28@email.com,1/4/18,$11.00
4,Fake,Donor29,mockEmail29@email.com,1/4/18,$12.00
4,Fake,Donor30,mockEmail30@email.com,1/4/18,$13.00
4,Fake,Donor31,mockEmail31@email.com,1/1/18,$1.00
4,Fake,Donor32,mockEmail32@email.com,1/1/18,$10.00
4,Fake,Donor33,mockEmail33@email.com,1/2/18,$100.00
5,Fake,Donor34,mockEmail34@email.com,1/2/18,"$1,000.00"
5,Fake,Donor35,mockEmail35@email.com,1/2/18,$10.00
5,Fake,Donor36,mockEmail36@email.com,1/3/18,$1.00
5,Fake,Donor37,mockEmail37@email.com,1/4/18,$10.00
5,Fake,Donor38,mockEmail38@email.com,1/4/18,$11.00
5,Fake,Donor39,mockEmail39@email.com,1/4/18,$12.00
6,Fake,Donor40,mockEmail40@email.com,1/4/18,$13.00
6,Fake,Donor41,mockEmail41@email.com,1/1/18,$1.00
6,Fake,Donor42,mockEmail42@email.com,1/1/18,$10.00
6,Fake,Donor43,mockEmail43@email.com,1/2/18,$100.00
6,Fake,Donor44,mockEmail44@email.com,1/2/18,"$1,000.00"
6,Fake,Donor45,mockEmail45@email.com,1/2/18,$10.00
6,Fake,Donor46,mockEmail46@email.com,1/3/18,$1.00
6,Fake,Donor47,mockEmail47@email.com,1/4/18,$10.00
6,Fake,Donor48,mockEmail48@email.com,1/4/18,$11.00
6,Fake,Donor49,mockEmail49@email.com,1/4/18,$12.00
6,Fake,Donor50,mockEmail50@email.com,1/4/18,$13.00
